x,y,z
3.0688598,-0.21333334,-4.0298176
3.0933335,-0.18666668,-4.049205
3.1474614,-0.18666668,-4.07272
3.135841,-0.21333334,-4.067555
2.6331384,-0.3072213,-4.0375414
2.6064715,-0.2847235,-4.0266666
2.5866668,-0.25867474,-4.0533333
2.656629,-0.3072213,-4.0642085
2.7928925,-0.24697271,-4.0533333
2.7962365,-0.25943777,-4.0266666
2.805565,-0.28610447,-4.0266666
2.8189306,-0.30030605,-4.0533333
3.1014807,-0.29333332,-4.042827
3.077007,-0.26666668,-4.0215015
2.8455975,-0.33546868,-4.0533333
2.8588986,-0.35809857,-4.0266666
2.8852806,-0.38476524,-4.0266666
2.8935313,-0.388802,-4.0533333
3.0248394,-0.36705557,-4.0533333
3.005736,-0.3820877,-4.0266666
3.0748138,-0.32875434,-4.0213256
3.0933335,-0.33499485,-4.047992
3.0666668,-0.3466294,-4.0533333
2.7916415,-0.45614025,-4.032434
2.7649748,-0.4442507,-4.0266666
2.746667,-0.43669456,-4.0533333
2.8533335,-0.46880627,-4.043497
2.8266668,-0.44494644,-4.0591006
2.9333334,-0.46898997,-4.0269103
2.9149172,-0.4423233,-4.03773
2.920198,-0.41565666,-4.0266666
2.8882506,-0.44213957,-4.0643964
2.978879,-0.46898997,-4.042514
2.9864426,-0.4423233,-4.0266666
2.9979486,-0.42666668,-4.0533333
2.7916415,-0.49238798,-4.0057673
2.7208447,-0.5557623,-4.079062
2.8210154,-0.51905465,-4.0057673
2.8476818,-0.53333336,-4.0100765
2.8533335,-0.50666666,-4.0211396
2.9333334,-0.50666666,-4.045511
2.9066668,-0.53333336,-4.0339727
3.0055456,-0.50053203,-4.0691805
3.0133333,-0.52719873,-4.0668726
2.986667,-0.53333336,-4.058806
3.045937,-0.5538654,-4.077692
2.7208447,-0.56085926,-4.079062
2.8743486,-0.5700115,-4.004309
2.9066668,-0.5908335,-4.004309
2.9333334,-0.580822,-4.0229096
2.9774084,-0.60748863,-4.0186005
3.0040753,-0.61333334,-4.021668
3.0133333,-0.58666664,-4.0460267
3.0726037,-0.57202315,-4.077692
